f'{Freq[0]:.8f},{Freq[1]:.8f},{Gnm[0]:.8f},{Gnm[1]:.8f},{pM[0]:.8f},{pM[1]:.8f},{FreqF:.8f},{LTP:.8E}\n'
0.11127431,0.12038765,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.70436862E+03
0.10000000,0.13166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.70338162E+03
0.09000000,0.14166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.70068212E+03
0.08000000,0.15166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.69723654E+03
0.07000000,0.16166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.69473512E+03
0.06000000,0.17166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.69396083E+03
0.05000000,0.18166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.69492809E+03
0.04000000,0.19166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.69797403E+03
0.03000000,0.20166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.70514894E+03
0.03000000,0.19166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.68525192E+03
0.05000000,0.17166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.67752758E+03
0.07000000,0.15166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.67880653E+03
0.07000000,0.14166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66749323E+03
0.07000000,0.13166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66091093E+03
0.07000000,0.12166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.65919021E+03
0.07000000,0.11166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66249544E+03
0.08000000,0.11166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66170436E+03
0.09000000,0.10166200,44.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66276292E+03
0.08000000,0.11166200,43.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66203198E+03
0.08000000,0.11166200,41.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66282858E+03
0.08000000,0.11166200,42.11355000,33.38697000,0.00000000,0.00000000,0.00000000,-3.66240591E+03
0.08000000,0.11166200,43.11355000,32.38697000,0.00000000,0.00000000,0.00000000,-3.66298366E+03
0.08000000,0.11166200,43.11355000,34.38697000,0.00000000,0.00000000,0.00000000,-3.66119376E+03
0.08000000,0.11166200,43.11355000,35.38697000,0.00000000,0.00000000,0.00000000,-3.66046045E+03
0.08000000,0.11166200,43.11355000,36.38697000,0.00000000,0.00000000,0.00000000,-3.65982454E+03
0.08000000,0.11166200,43.11355000,37.38697000,0.00000000,0.00000000,0.00000000,-3.65927935E+03
0.08000000,0.11166200,43.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65760898E+03
0.08000000,0.11166200,43.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65755428E+03
0.08000000,0.11166200,43.11355000,48.38697000,0.00000000,0.00000000,0.00000000,-3.65784180E+03
0.08000000,0.11166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65753928E+03
0.08000000,0.11166200,37.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65799147E+03
0.08000000,0.11166200,39.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65769395E+03
0.08000000,0.11166200,40.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65760654E+03
